Gene name,ensembl_gene_id,target_id,pval,qval,b,Log2
Scn5a,ENSMUSG00000032511,ENSMUST00000120420.1,5.66736620199162E-07,0.000052224,6.648269939,9.5914260715
Asxl1,ENSMUSG00000042548,ENSMUST00000227428.1,6.26545870579492E-08,7.90238438147796E-06,6.594181885,9.5133935042
Nrcam,ENSMUSG00000020598,ENSMUST00000220123.1,2.03644893725949E-17,1.54109727933496E-14,6.5259133217,9.4149027864
Bace1,ENSMUSG00000032086,ENSMUST00000078111.10,3.79411824725512E-14,1.8783722047836E-11,6.492339086,9.3664654032
Uckl1,ENSMUSG00000089917,ENSMUST00000129469.7,6.12512759392615E-09,9.94480649402138E-07,6.4645132584,9.3263212196
Stra6l,ENSMUSG00000028327,ENSMUST00000030011.5,9.89821212557947E-07,8.41634014331174E-05,6.2175255204,8.9699932349
Marveld2,ENSMUSG00000021636,ENSMUST00000225754.1,1.86751571876432E-08,2.71035370329047E-06,6.2098193315,8.9588755543
Slc10a4,ENSMUSG00000029219,ENSMUST00000031127.10,2.42786186733241E-07,2.55688124648509E-05,6.1225640803,8.8329928361
Brap,ENSMUSG00000029458,ENSMUST00000140996.5,0.0003816739,0.0118652639,6.0606007055,8.7435985827
Smc2,ENSMUSG00000028312,ENSMUST00000102915.9,3.09068943599289E-10,7.34184266784086E-08,6.0278980584,8.6964186359
Stra6l,ENSMUSG00000028327,ENSMUST00000107782.7,6.7843274082874E-12,2.30375753717441E-09,5.9891912373,8.6405764969
Fam83h,ENSMUSG00000046761,ENSMUST00000170153.1,1.09752871226305E-06,9.24314602141664E-05,5.9754189969,8.6207073541
Fam160a1,ENSMUSG00000051000,ENSMUST00000118408.7,5.49566390352887E-10,1.24411027334032E-07,5.8598732509,8.4540100793
Stx11,ENSMUSG00000039232,ENSMUST00000042861.6,1.36158910466651E-06,0.0001118255,5.8484498858,8.4375296472
Cp,ENSMUSG00000003617,ENSMUST00000108325.8,3.05476015394241E-07,3.10594644212651E-05,5.817165597,8.3923959588
Tekt1,ENSMUSG00000020799,ENSMUST00000108503.8,0.0020596346,0.0445326617,5.8162966476,8.3911423298
Sh3pxd2a,ENSMUSG00000053617,ENSMUST00000111800.2,1.45374120615322E-05,0.0008479397,5.7912669491,8.355032108
Sspn,ENSMUSG00000030255,ENSMUST00000111702.7,2.37210424279313E-09,4.3480096212277E-07,5.7728468675,8.3284575476
Ank1,ENSMUSG00000031543,ENSMUST00000084038.10,0.0005230437,0.0152404812,5.7479292026,8.292508956
Myo5a,ENSMUSG00000034593,ENSMUST00000136731.7,2.11992706485683E-06,0.0001629882,5.5860430867,8.0589566593
Hnrnpa1,ENSMUSG00000046434,ENSMUST00000231141.1,1.45255297848154E-08,2.1921962657864E-06,5.5654892328,8.0293037163
Mcrs1,ENSMUSG00000037570,ENSMUST00000163506.2,3.19840958983727E-06,0.0002314609,5.5533620614,8.0118079063
Krt8,ENSMUSG00000049382,ENSMUST00000023952.9,1.50914132576442E-40,1.33239572416198E-36,5.5398898301,7.9923715849
U90926,ENSMUSG00000029409,ENSMUST00000201332.3,1.19418823528898E-08,1.81780843068859E-06,5.5090299486,7.9478501869
Arhgef2,ENSMUSG00000028059,ENSMUST00000170653.8,0.0002940415,0.0096544503,5.4830336772,7.9103454952
Orm2,ENSMUSG00000061540,ENSMUST00000075341.3,1.16237880370648E-12,4.66474942187449E-10,5.4487984189,7.8609544578
Ttyh1,ENSMUSG00000030428,ENSMUST00000032594.12,5.2429352685163E-08,6.70855096567908E-06,5.44073094,7.849315546
Hacd1,ENSMUSG00000063275,ENSMUST00000091429.11,2.16735564935151E-05,0.001169581,5.313940712,7.6663959127
Smox,ENSMUSG00000027333,ENSMUST00000110189.8,0.0005679344,0.0163151787,5.3126955212,7.6645994823
Tmem9,ENSMUSG00000026411,ENSMUST00000165125.7,1.71696406527425E-07,1.87918878987133E-05,5.3112756888,7.662551097
Myc,ENSMUSG00000022346,ENSMUST00000161976.7,2.80527822945954E-07,2.89112847566459E-05,5.3069001172,7.6562384816
Myc,ENSMUSG00000022346,ENSMUST00000022971.7,2.80527822945954E-07,2.89112847566459E-05,5.3069001172,7.6562384816
Fam214b,ENSMUSG00000036002,ENSMUST00000135067.7,0.0021153944,0.0453184082,5.2968058897,7.6416755896
Acbd5,ENSMUSG00000026781,ENSMUST00000114523.9,0.0009423933,0.0241633105,5.2800790161,7.6175438121
Cobl,ENSMUSG00000020173,ENSMUST00000172956.7,0.0001807229,0.0066596322,5.2253627141,7.5386048745
Dio3,ENSMUSG00000075707,ENSMUST00000173014.1,5.68598698495254E-07,5.22923244017172E-05,5.2185818093,7.5288220968
Sh2b1,ENSMUSG00000030733,ENSMUST00000205340.1,0.0018413588,0.0406256965,5.1989560813,7.5005081564
Rhno1,ENSMUSG00000048668,ENSMUST00000112151.1,8.81918891353603E-05,0.0037166181,5.1935657871,7.4927316056
Rabepk,ENSMUSG00000070953,ENSMUST00000118108.1,0.0002546086,0.0086513021,5.1934396486,7.4925496261
Rsrc1,ENSMUSG00000034544,ENSMUST00000162693.7,0.0005085064,0.0148823796,5.1889059662,7.486008905
Ikbkg,ENSMUSG00000004221,ENSMUST00000114128.7,0.0003167571,0.010212767,5.1652872891,7.4519343567
Mindy3,ENSMUSG00000026767,ENSMUST00000155530.7,0.0014064018,0.0332446769,5.1518064226,7.4324855775
Scn5a,ENSMUSG00000032511,ENSMUST00000138934.1,5.14410376820382E-09,8.59617062817226E-07,5.1494884303,7.4291414215
Ccnd3,ENSMUSG00000034165,ENSMUST00000183044.7,0.0023715953,0.0492668706,5.1441640378,7.4214599469
Nrcam,ENSMUSG00000020598,ENSMUST00000110748.3,0.0004106112,0.0125440069,5.1157881705,7.3805222239
Rgl3,ENSMUSG00000040146,ENSMUST00000045726.7,0.0009675118,0.0246997609,5.1056913586,7.3659556034
Dek,ENSMUSG00000021377,ENSMUST00000138401.1,0.0002019814,0.0072588595,5.0879057521,7.3402963971
Rassf7,ENSMUSG00000038618,ENSMUST00000209500.1,4.25912895228686E-06,0.0002933925,5.0690246502,7.313056725
Wnk1,ENSMUSG00000045962,ENSMUST00000177761.7,0.0003704302,0.0116179969,5.0177463583,7.2390777876
Synj2,ENSMUSG00000023805,ENSMUST00000115787.7,0.0002693513,0.0090420462,5.0063445716,7.2226284864
Dnajc1,ENSMUSG00000026740,ENSMUST00000028072.12,0.0008832885,0.0229815537,4.9944197421,7.205424594
Fpgs,ENSMUSG00000009566,ENSMUST00000130164.7,0.001589863,0.0365134343,4.9886205977,7.1970581972
Nln,ENSMUSG00000021710,ENSMUST00000224475.1,0.0001311756,0.0051396189,4.9756383582,7.1783287846
Gramd1a,ENSMUSG00000001248,ENSMUST00000188032.6,0.0021204562,0.0453846167,4.9456755407,7.1351015764
Utp23,ENSMUSG00000022313,ENSMUST00000059599.9,0.0002841473,0.0094095566,4.9292439337,7.1113957785
Acsl6,ENSMUSG00000020333,ENSMUST00000139484.1,5.49857409016035E-05,0.0025394592,4.9246174699,7.1047212022
Fgfr3,ENSMUSG00000054252,ENSMUST00000169212.8,0.0013045916,0.0313131533,4.9181315591,7.0953640107
Erc2,ENSMUSG00000040640,ENSMUST00000090302.5,0.0005362626,0.015546064,4.8995414804,7.0685441965
Slx4,ENSMUSG00000039738,ENSMUST00000040790.13,0.0021003138,0.0450627476,4.8898996722,7.0546340076
Nbl1,ENSMUSG00000041120,ENSMUST00000132940.1,1.46545339431895E-05,0.0008512002,4.878728741,7.0385177605
Aspscr1,ENSMUSG00000025142,ENSMUST00000135346.7,0.0004606504,0.0138052726,4.8571236753,7.0073482394
Slpi,ENSMUSG00000017002,ENSMUST00000109367.9,0.000029552,0.0015154464,4.8483078096,6.9946296337
Myl4,ENSMUSG00000061086,ENSMUST00000130588.7,0.000031593,0.0016061183,4.8331690249,6.9727889839
Pea15a,ENSMUSG00000013698,ENSMUST00000111247.7,0.0007206569,0.0197288676,4.8327035787,6.972117487
Rbm10,ENSMUSG00000031060,ENSMUST00000177738.7,0.0020850454,0.0448509499,4.8202479744,6.9541478485
Txndc9,ENSMUSG00000058407,ENSMUST00000192237.1,0.0016253578,0.0370408116,4.8153571045,6.9470918148
B4galnt3,ENSMUSG00000041372,ENSMUST00000212457.1,0.0011348145,0.0280254209,4.8077669668,6.9361415608
Deaf1,ENSMUSG00000058886,ENSMUST00000210062.1,5.17062794543475E-05,0.0024197756,4.7700815651,6.8817730186
Cnot6l,ENSMUSG00000034724,ENSMUST00000113005.8,0.0015968797,0.0366196997,4.7663127202,6.8763357248
