Gene name,ens_gene,pval,qval,transcript_id
Myog,ENSMUSG00000026459,3.94455204442021E-13,1.68140475445456E-08,ENSMUST00000027730.5
Scn5a,ENSMUSG00000032511,6.24668383834222E-12,1.33135572646588E-07,ENSMUST00000065196.12
Gdf5,ENSMUSG00000038259,1.39421055379931E-10,0.000001981,ENSMUST00000040162.2
Smad3,ENSMUSG00000032402,3.82538308411857E-10,4.07651948359095E-06,ENSMUST00000034973.9
Hdac4,ENSMUSG00000026313,7.37815639849337E-10,0.00000629,ENSMUST00000097644.8
Mlf1,ENSMUSG00000048416,1.2927418789627E-09,9.18406922211064E-06,ENSMUST00000061322.9
Fhl3,ENSMUSG00000032643,3.18827343023905E-09,1.59645576472731E-05,ENSMUST00000038684.5
Snai3,ENSMUSG00000006587,3.37073661205504E-09,1.59645576472731E-05,ENSMUST00000006762.6
Kbtbd13,ENSMUSG00000054978,3.19787903995105E-09,1.59645576472731E-05,ENSMUST00000068307.3
Chrnd,ENSMUSG00000026251,8.34716370501527E-09,3.55806200089981E-05,ENSMUST00000073252.8
Carns1,ENSMUSG00000075289,1.14718758215349E-08,0.00004075,ENSMUST00000167055.1
Carns1,ENSMUSG00000097064,1.14718758215349E-08,0.00004075,ENSMUST00000181869.2
Tbc1d4,ENSMUSG00000033083,2.02889844037185E-08,6.03724798794413E-05,ENSMUST00000161304.1
Kcnj2,ENSMUSG00000041695,2.12449490496791E-08,6.03724798794413E-05,ENSMUST00000042970.2
Adamtsl4,ENSMUSG00000015850,1.89178951518395E-08,6.03724798794413E-05,ENSMUST00000015994.3
Pvr,ENSMUSG00000040511,2.91006330717818E-08,7.75277240823606E-05,ENSMUST00000043517.7
Eda2r,ENSMUSG00000034457,3.8838449306544E-08,0.000097384,ENSMUST00000037353.9
Alpk2,ENSMUSG00000032845,4.95566638745959E-08,0.0001173557,ENSMUST00000035548.14
Myod1,ENSMUSG00000009471,7.46696721196638E-08,0.0001619966,ENSMUST00000072514.2
Plekhh1,ENSMUSG00000060716,0.000000076,0.0001619966,ENSMUST00000219946.1
Phkg1,ENSMUSG00000025537,8.54427084424966E-08,0.0001734324,ENSMUST00000200832.1
Eepd1,ENSMUSG00000036611,9.95355380442172E-08,0.0001753186,ENSMUST00000040677.5
Hdac9,ENSMUSG00000004698,1.05571267608329E-07,0.0001753186,ENSMUST00000110819.3
Kcna7,ENSMUSG00000038201,9.36553203896861E-08,0.0001753186,ENSMUST00000107774.2
Gadd45a,ENSMUSG00000036390,1.00208413162229E-07,0.0001753186,ENSMUST00000043098.8
Runx1,ENSMUSG00000022952,0.000000111,0.0001753186,ENSMUST00000023673.13
Tigar,ENSMUSG00000038028,1.09853806786302E-07,0.0001753186,ENSMUST00000039913.8
Fn3k,ENSMUSG00000025175,1.25519861182567E-07,0.0001910861,ENSMUST00000026175.8
Gprc5c,ENSMUSG00000051043,1.8378506484962E-07,0.0002701387,ENSMUST00000053361.11
Ufsp1,ENSMUSG00000051502,2.00575709426205E-07,0.0002811217,ENSMUST00000052825.6
Mtch1,ENSMUSG00000024012,2.04447348124494E-07,0.0002811217,ENSMUST00000095427.10
